player,season,salary
Jarrett Allen,2021/22,"$20,000,000"
Fred VanVleet,2021/22,"$19,675,926"
Zach LaVine,2021/22,"$19,500,000"
Goran Dragic,2021/22,"$19,348,907"
Bojan Bogdanovic,2021/22,"$18,700,000"
Lonzo Ball,2021/22,"$18,604,651"
Clint Capela,2021/22,"$18,603,448"
Domantas Sabonis,2021/22,"$18,500,000"
Eric Gordon,2021/22,"$18,218,818"
Eric Bledsoe,2021/22,"$18,125,000"
Bogdan Bogdanovic,2021/22,"$18,000,000"
Myles Turner,2021/22,"$18,000,000"
Terry Rozier,2021/22,"$17,905,263"
Ricky Rubio,2021/22,"$17,800,000"
Caris LeVert,2021/22,"$17,500,000"
Jonathan Isaac,2021/22,"$17,400,000"
Joe Harris,2021/22,"$17,357,143"
Spencer Dinwiddie,2021/22,"$17,142,857"
Evan Fournier,2021/22,"$17,142,857"
Steven Adams,2021/22,"$17,073,171"
Markelle Fultz,2021/22,"$16,500,000"
Aaron Gordon,2021/22,"$16,409,091"
OG Anunoby,2021/22,"$16,071,429"
Gary Trent Jr,2021/22,"$16,000,000"
Davis Bertans,2021/22,"$16,000,000"
Lauri Markkanen,2021/22,"$15,690,909"
Derrick White,2021/22,"$15,678,571"
Duncan Robinson,2021/22,"$15,650,000"
Marcus Morris,2021/22,"$15,627,907"
Will Barton,2021/22,"$15,625,000"
Norman Powell,2021/22,"$15,517,242"
Dejounte Murray,2021/22,"$15,428,880"
Malik Beasley,2021/22,"$14,491,964"
Marcus Smart,2021/22,"$14,339,285"
Patrick Beverley,2021/22,"$14,320,987"
Thaddeus Young,2021/22,"$14,190,000"
Jonas Valanciunas,2021/22,"$14,000,000"
Doug McDermott,2021/22,"$13,750,000"
Christian Wood,2021/22,"$13,666,667"
Derrick Rose,2021/22,"$13,445,120"
Luke Kennard,2021/22,"$13,347,727"
Brook Lopez,2021/22,"$13,302,325"
Kentavious Caldwell-Pope,2021/22,"$13,038,862"
Joe Ingles,2021/22,"$13,036,364"
Kyle Kuzma,2021/22,"$13,000,000"
Taurean Prince,2021/22,"$13,000,000"
Robert Covington,2021/22,"$12,975,471"
TJ Warren,2021/22,"$12,940,000"
Deandre Ayton,2021/22,"$12,632,950"
Terrence Ross,2021/22,"$12,500,000"
Jordan Clarkson,2021/22,"$12,420,000"
Dillon Brooks,2021/22,"$12,200,000"
Kelly Olynyk,2021/22,"$12,195,122"
Nicolas Batum,2021/22,"$12,026,998"
Josh Hart,2021/22,"$12,000,000"
Kelly Oubre,2021/22,"$12,000,000"
Jusuf Nurkic,2021/22,"$12,000,000"
Josh Richardson,2021/22,"$11,615,328"
Marvin Bagley,2021/22,"$11,312,114"
DeAndre Jordan,2021/22,"$11,109,327"
Dwight Powell,2021/22,"$11,080,125"
Devonte Graham,2021/22,"$11,000,000"
Zion Williamson,2021/22,"$10,733,400"
Larry Nance Jr,2021/22,"$10,690,909"
Jeremy Lamb,2021/22,"$10,500,000"
Reggie Jackson,2021/22,"$10,384,500"
Richaun Holmes,2021/22,"$10,384,500"
Al-Farouq Aminu,2021/22,"$10,335,621"
Anthony Edwards,2021/22,"$10,245,480"
Luka Doncic,2021/22,"$10,174,391"
Cade Cunningham,2021/22,"$10,050,120"
Danny Green,2021/22,"$10,000,000"
Tomas Satoransky,2021/22,"$10,000,000"
Tristan Thompson,2021/22,"$9,946,611"
Kyle Anderson,2021/22,"$9,937,150"
Derrick Favors,2021/22,"$9,720,900"
Jae Crowder,2021/22,"$9,720,900"
Montrezl Harrell,2021/22,"$9,720,900"
Derrick Jones,2021/22,"$9,720,900"
Serge Ibaka,2021/22,"$9,720,900"
Ja Morant,2021/22,"$9,603,360"
Reggie Bullock,2021/22,"$9,536,000"
Alec Burks,2021/22,"$9,536,000"
Talen Horton-Tucker,2021/22,"$9,500,000"
Mason Plumlee,2021/22,"$9,248,333"
Jaren Jackson Jr,2021/22,"$9,180,560"
James Wiseman,2021/22,"$9,166,800"
Jalen Green,2021/22,"$8,992,080"
Maxi Kleber,2021/22,"$8,825,000"
De'Anthony Melton,2021/22,"$8,805,976"
Nerlens Noel,2021/22,"$8,800,000"
Royce O'Neale,2021/22,"$8,800,000"
Jakob Poeltl,2021/22,"$8,750,000"
Thomas Bryant,2021/22,"$8,666,667"
RJ Barrett,2021/22,"$8,623,920"
Alex Caruso,2021/22,"$8,600,000"
Delon Wright,2021/22,"$8,526,316"
Dario Saric,2021/22,"$8,510,000"
Monte Morris,2021/22,"$8,449,074"
Tyus Jones,2021/22,"$8,376,286"
Trae Young,2021/22,"$8,326,471"
Daniel Theis,2021/22,"$8,280,351"
LaMelo Ball,2021/22,"$8,231,760"
Seth Curry,2021/22,"$8,207,518"
JaMychal Green,2021/22,"$8,200,000"
Cedi Osman,2021/22,"$8,133,334"
Evan Mobley,2021/22,"$8,075,160"
De'Andre Hunter,2021/22,"$7,775,400"
DJ Augustin,2021/22,"$7,622,467"
Mo Bamba,2021/22,"$7,568,743"
Ivica Zubac,2021/22,"$7,518,518"
TJ McConnell,2021/22,"$7,500,000"
Rajon Rondo,2021/22,"$7,500,000"
Patrick Williams,2021/22,"$7,422,000"
Cory Joseph,2021/22,"$7,310,000"
Scottie Barnes,2021/22,"$7,280,400"
Darius Garland,2021/22,"$7,040,880"
Chris Boucher,2021/22,"$7,020,000"
PJ Tucker,2021/22,"$7,000,000"
Zach Collins,2021/22,"$7,000,000"
Wendell Carter,2021/22,"$6,920,027"
Juan Hernangomez,2021/22,"$6,907,815"
Isaac Okoro,2021/22,"$6,720,720"
Jalen Suggs,2021/22,"$6,592,920"
Cameron Payne,2021/22,"$6,500,000"
Joakim Noah,2021/22,"$6,431,666"
Jarrett Culver,2021/22,"$6,395,160"
Khem Birch,2021/22,"$6,350,000"
Collin Sexton,2021/22,"$6,349,671"
Onyeka Okongwu,2021/22,"$6,104,280"
Justin Holiday,2021/22,"$6,006,420"
Josh Giddey,2021/22,"$5,988,000"
Patrick Mills,2021/22,"$5,890,000"
Rudy Gay,2021/22,"$5,890,000"
Dennis Schroeder,2021/22,"$5,890,000"
Kevin Knox,2021/22,"$5,845,978"
Coby White,2021/22,"$5,837,760"
Timofey Mozgov,2021/22,"$5,573,333"
Killian Hayes,2021/22,"$5,572,680"
Mikal Bridges,2021/22,"$5,557,725"
Shai Gilgeous-Alexander,2021/22,"$5,495,532"
Jonathan Kuminga,2021/22,"$5,466,360"
Miles Bridges,2021/22,"$5,421,493"
Jaxson Hayes,2021/22,"$5,348,280"
Pat Connaughton,2021/22,"$5,333,334"
Kris Dunn,2021/22,"$5,317,430"
George Hill,2021/22,"$5,275,491"
Michael Porter,2021/22,"$5,258,735"
Dewayne Dedmon,2021/22,"$5,256,308"
Ryan Anderson,2021/22,"$5,214,583"
Hamidou Diallo,2021/22,"$5,200,000"
Kevon Looney,2021/22,"$5,178,572"
Troy Brown,2021/22,"$5,170,564"
Obi Toppin,2021/22,"$5,105,160"
Franz Wagner,2021/22,"$5,007,840"
Josh Jackson,2021/22,"$5,005,350"
Kendrick Nunn,2021/22,"$5,000,000"
Louis Williams,2021/22,"$5,000,000"
Luol Deng,2021/22,"$5,000,000"
Robin Lopez,2021/22,"$5,000,000"
JaVale McGee,2021/22,"$5,000,000"
Danuel House,2021/22,"$4,997,424"
Rui Hachimura,2021/22,"$4,916,160"
Garrett Temple,2021/22,"$4,910,000"
Taj Gibson,2021/22,"$4,910,000"
Torrey Craig,2021/22,"$4,878,049"
Bruce Brown,2021/22,"$4,736,102"
Deni Avdija,2021/22,"$4,692,840"
Donte DiVincenzo,2021/22,"$4,675,830"
Cam Reddish,2021/22,"$4,670,160"
David Nwaba,2021/22,"$4,650,000"
Furkan Korkmaz,2021/22,"$4,629,630"
Davion Mitchell,2021/22,"$4,603,200"
Ishmael Smith,2021/22,"$4,500,000"
Jeff Green,2021/22,"$4,500,000"
Bryn Forbes,2021/22,"$4,500,000"
Jalen Smith,2021/22,"$4,458,000"
Lonnie Walker,2021/22,"$4,447,896"
Cameron Johnson,2021/22,"$4,437,000"
Ziaire Williams,2021/22,"$4,373,040"
Bobby Portis,2021/22,"$4,347,600"
Moe Harkless,2021/22,"$4,347,600"
Kevin Huerter,2021/22,"$4,253,357"
Devin Vassell,2021/22,"$4,235,160"
Chandler Hutchison,2021/22,"$4,224,186"
Willie Cauley-Stein,2021/22,"$4,220,083"
PJ Washington,2021/22,"$4,215,120"
James Bouknight,2021/22,"$4,154,400"
Jevon Carter,2021/22,"$4,107,149"
Josh Okogie,2021/22,"$4,087,904"
Grayson Allen,2021/22,"$4,054,695"
Jarred Vanderbilt,2021/22,"$4,050,000"
Tyrese Haliburton,2021/22,"$4,023,600"
Tyler Herro,2021/22,"$4,004,280"
Dorian Finney-Smith,2021/22,"$4,000,000"
Terence Davis,2021/22,"$4,000,000"
Gorgui Dieng,2021/22,"$4,000,000"
Aaron Holiday,2021/22,"$3,980,551"
Josh Primo,2021/22,"$3,946,800"
Jake Layman,2021/22,"$3,940,184"
Anfernee Simons,2021/22,"$3,938,818"
Justise Winslow,2021/22,"$3,902,439"
Kira Lewis,2021/22,"$3,822,240"
Romeo Langford,2021/22,"$3,804,360"
Sekou Doumbouya,2021/22,"$3,799,131"
Landry Shamet,2021/22,"$3,768,342"
Chris Duarte,2021/22,"$3,749,400"
Alex Len,2021/22,"$3,732,000"
Robert Williams,2021/22,"$3,661,976"
Aaron Nesmith,2021/22,"$3,631,200"
Moses Moody,2021/22,"$3,562,200"
Boban Marjanovic,2021/22,"$3,500,000"
Mike Muscala,2021/22,"$3,500,000"
Cole Anthony,2021/22,"$3,449,400"
Corey Kispert,2021/22,"$3,383,640"
Luka Samanic,2021/22,"$3,355,239"
Georges Niang,2021/22,"$3,300,000"
Michael Carter-Williams,2021/22,"$3,300,000"
Isaiah Stewart,2021/22,"$3,277,080"
Chuma Okeke,2021/22,"$3,277,080"
Nickeil Alexander-Walker,2021/22,"$3,261,480"
Alperen Sengun,2021/22,"$3,214,680"
Facundo Campazzo,2021/22,"$3,200,000"
Jon Leuer,2021/22,"$3,169,348"
Trey Burke,2021/22,"$3,150,000"
Aleksej Pokusevski,2021/22,"$3,113,160"
Goga Bitadze,2021/22,"$3,098,400"
Trey Murphy,2021/22,"$3,053,760"
Sterling Brown,2021/22,"$3,000,000"
Frank Jackson,2021/22,"$3,000,000"
Josh Green,2021/22,"$2,957,520"
Tre Mann,2021/22,"$2,901,240"
Andrew Nicholson,2021/22,"$2,844,429"
Matisse Thybulle,2021/22,"$2,840,160"
Saddiq Bey,2021/22,"$2,824,320"
Kai Jones,2021/22,"$2,770,560"
Brandon Clarke,2021/22,"$2,726,880"
Precious Achiuwa,2021/22,"$2,711,280"
Marc Gasol,2021/22,"$2,692,991"
Jalen Johnson,2021/22,"$2,659,680"
LaMarcus Aldridge,2021/22,"$2,641,691"
James Johnson,2021/22,"$2,641,691"
Ed Davis,2021/22,"$2,641,691"
Andre Iguodala,2021/22,"$2,641,691"
Enes Kanter,2021/22,"$2,641,691"
Carmelo Anthony,2021/22,"$2,641,691"
Trevor Ariza,2021/22,"$2,641,691"
Avery Bradley,2021/22,"$2,641,691"
Wayne Ellington,2021/22,"$2,641,691"
Dwight Howard,2021/22,"$2,641,691"
Udonis Haslem,2021/22,"$2,641,691"
Markieff Morris,2021/22,"$2,641,691"
E'Twaun Moore,2021/22,"$2,641,691"
Paul Millsap,2021/22,"$2,641,691"
Grant Williams,2021/22,"$2,617,800"
Tyrese Maxey,2021/22,"$2,602,920"
Keon Johnson,2021/22,"$2,553,240"
Darius Bazley,2021/22,"$2,513,040"
Trey Lyles,2021/22,"$2,500,000"
Zeke Nnaji,2021/22,"$2,498,760"
Isaiah Jackson,2021/22,"$2,451,240"
Ty Jerome,2021/22,"$2,412,840"
Andre Drummond,2021/22,"$2,401,537"
Austin Rivers,2021/22,"$2,401,537"
Kent Bazemore,2021/22,"$2,401,537"
Hassan Whiteside,2021/22,"$2,401,537"
Otto Porter,2021/22,"$2,389,641"
Victor Oladipo,2021/22,"$2,389,641"
Tony Snell,2021/22,"$2,389,641"
Solomon Hill,2021/22,"$2,389,641"
Ben McLemore,2021/22,"$2,389,641"
Cody Zeller,2021/22,"$2,389,641"
Usman Garuba,2021/22,"$2,353,320"
Leandro Bolmaro,2021/22,"$2,353,320"
Willy Hernangomez,2021/22,"$2,327,220"
Edmond Sumner,2021/22,"$2,320,000"
Nassir Little,2021/22,"$2,316,240"
RJ Hampton,2021/22,"$2,303,040"
DeAndre Bembry,2021/22,"$2,271,045"
Josh Christopher,2021/22,"$2,259,240"
Monta Ellis,2021/22,"$2,245,400"
Drew Eubanks,2021/22,"$2,239,820"
Rodney Hood,2021/22,"$2,239,544"
Elfrid Payton,2021/22,"$2,239,544"
Dylan Windler,2021/22,"$2,239,200"
Immanuel Quickley,2021/22,"$2,210,640"
John Konchar,2021/22,"$2,200,000"
Quentin Grimes,2021/22,"$2,168,640"
Jordan Poole,2021/22,"$2,161,440"
Bol Bol,2021/22,"$2,161,152"
Keldon Johnson,2021/22,"$2,145,720"
Payton Pritchard,2021/22,"$2,137,440"
Jahlil Okafor,2021/22,"$2,130,023"
Bones Hyland,2021/22,"$2,096,880"
Nemanja Bjelica,2021/22,"$2,089,448"
Frank Kaminsky,2021/22,"$2,089,448"
Raul Neto,2021/22,"$2,089,448"
Udoka Azubuike,2021/22,"$2,075,880"
Jaden McDaniels,2021/22,"$2,063,280"
Malachi Flynn,2021/22,"$2,048,040"
DeMarcus Cousins,2021/22,"$2,038,942"
Cam Thomas,2021/22,"$2,036,280"
Desmond Bane,2021/22,"$2,033,160"
Jaden Springer,2021/22,"$2,023,680"
Day'Ron Sharpe,2021/22,"$2,009,160"
Jordan McLaughlin,2021/22,"$2,000,000"
Garrison Mathews,2021/22,"$2,000,000"
Jeremiah Robinson-Earl,2021/22,"$2,000,000"
Kenrich Williams,2021/22,"$2,000,000"
Theo Maledon,2021/22,"$2,000,000"
Abdel Nader,2021/22,"$2,000,000"
Santiago Aldama,2021/22,"$1,994,520"
Damian Jones,2021/22,"$1,977,011"
Wesley Matthews,2021/22,"$1,958,495"
Timothe Luwawu,2021/22,"$1,939,350"
Rodney McGruder,2021/22,"$1,939,350"
Moses Brown,2021/22,"$1,933,909"
Wesley Iwundu,2021/22,"$1,926,834"
Jose Alvarado,2021/22,"$1,925,406"
Damion Lee,2021/22,"$1,910,860"
PJ Dozier,2021/22,"$1,910,860"
Killian Tillie,2021/22,"$1,901,625"
Tyrell Terry,2021/22,"$1,869,438"
Larry Sanders,2021/22,"$1,865,546"
Carsen Edwards,2021/22,"$1,859,365"
Shake Milton,2021/22,"$1,846,738"
Jalen Brunson,2021/22,"$1,802,057"
Mitchell Robinson,2021/22,"$1,802,057"
Tony Bradley,2021/22,"$1,789,256"
Frank Ntilikina,2021/22,"$1,789,256"
Semi Ojeleye,2021/22,"$1,789,256"
Malik Monk,2021/22,"$1,789,256"
Dennis Smith,2021/22,"$1,789,256"
Didi Louzada,2021/22,"$1,786,878"
Kevin Porter,2021/22,"$1,782,621"
Jalen McDaniels,2021/22,"$1,782,621"
Terance Mann,2021/22,"$1,782,621"
Jaylen Nowell,2021/22,"$1,782,621"
Naz Reid,2021/22,"$1,782,621"
Isaiah Roby,2021/22,"$1,782,621"
Daniel Gafford,2021/22,"$1,782,621"
Nicolas Claxton,2021/22,"$1,782,621"
Cody Martin,2021/22,"$1,782,621"
Dean Wade,2021/22,"$1,782,621"
Vlatko Cancar,2021/22,"$1,782,621"
Bruno Fernando,2021/22,"$1,782,621"
Luguentz Dort,2021/22,"$1,782,621"
KZ Okpala,2021/22,"$1,782,621"
Eric Paschall,2021/22,"$1,782,621"
Chimezie Metu,2021/22,"$1,762,796"
Yuta Watanabe,2021/22,"$1,762,796"
Armoni Brooks,2021/22,"$1,739,065"
Thanasis Antetokounmpo,2021/22,"$1,729,217"
Keita Bates-Diop,2021/22,"$1,729,217"
Sviatoslav Mykhailiuk,2021/22,"$1,729,217"
Isaiah Hartenstein,2021/22,"$1,729,217"
Moritz Wagner,2021/22,"$1,729,217"
Isaac Bonga,2021/22,"$1,729,217"
Juan Toscano-Anderson,2021/22,"$1,701,593"
Oshae Brissett,2021/22,"$1,701,593"
Herb Jones,2021/22,"$1,700,000"
Gabriel Deck,2021/22,"$1,690,507"
Javonte Green,2021/22,"$1,669,178"
Max Strus,2021/22,"$1,669,178"
Gabe Vincent,2021/22,"$1,669,178"
Matt Thomas,2021/22,"$1,669,178"
Gary Payton II,2021/22,"$1,669,178"
Robert Woodard,2021/22,"$1,619,015"
Lance Stephenson,2021/22,"$1,614,825"
Deividas Sirvydis,2021/22,"$1,603,559"
Daniel Oturu,2021/22,"$1,603,559"
Kevin Pangos,2021/22,"$1,569,178"
Bismack Biyombo,2021/22,"$1,518,213"
Nick Richards,2021/22,"$1,517,981"
Lamar Stevens,2021/22,"$1,517,981"
KJ Martin,2021/22,"$1,517,981"
Xavier Tillman,2021/22,"$1,517,981"
Naji Marshall,2021/22,"$1,517,981"
Isaiah Joe,2021/22,"$1,517,981"
Paul Reed,2021/22,"$1,517,981"
Tre Jones,2021/22,"$1,517,981"
Vernon Carey,2021/22,"$1,517,981"
Jae'Sean Tate,2021/22,"$1,517,981"
Sam Merrill,2021/22,"$1,517,981"
Jordan Nwora,2021/22,"$1,517,981"
CJ Elleby,2021/22,"$1,517,981"
Elijah Hughes,2021/22,"$1,517,981"
Jahmi'us Ramsey,2021/22,"$1,517,981"
Anthony Gill,2021/22,"$1,517,981"
Isaiah Todd,2021/22,"$1,500,000"
Saben Lee,2021/22,"$1,489,065"
Omer Yurtseven,2021/22,"$1,489,065"
JR Smith,2021/22,"$1,456,667"
Stanley Johnson,2021/22,"$1,368,998"
Duane Washington Jr,2021/22,"$1,346,676"
Aaron Wiggins,2021/22,"$1,305,761"
Marquese Chriss,2021/22,"$1,292,900"
JT Thor,2021/22,"$1,250,000"
DeMarre Carroll,2021/22,"$1,242,340"
Jabari Parker,2021/22,"$1,168,286"
Alfonzo McKinnie,2021/22,"$1,090,007"
Zhaire Smith,2021/22,"$1,068,200"
Jason Preston,2021/22,"$1,062,303"
Isaiah Livers,2021/22,"$1,057,260"
Guerschon Yabusele,2021/22,"$1,039,080"
Denzel Valentine,2021/22,"$1,005,633"
Alize Johnson,2021/22,"$1,003,740"
Kyle Singler,2021/22,"$999,200"
Kelan Martin,2021/22,"$993,760"
Miye Oni,2021/22,"$946,261"
Ayo Dosunmu,2021/22,"$925,258"
Marko Simonovic,2021/22,"$925,258"
BJ Boston,2021/22,"$925,258"
Austin Reaves,2021/22,"$925,258"
Miles McBride,2021/22,"$925,258"
Vit Krejci,2021/22,"$925,258"
Charles Bassey,2021/22,"$925,258"
Greg Brown,2021/22,"$925,258"
Jock Landale,2021/22,"$925,258"
Jared Butler,2021/22,"$925,258"
Luka Garza,2021/22,"$925,258"
Dalano Banton,2021/22,"$925,258"
Daishen Nix,2021/22,"$923,078"
Isaiah Thomas,2021/22,"$910,926"
Terry Taylor,2021/22,"$895,125"
Mamadi Diakite,2021/22,"$869,078"
Caleb Martin,2021/22,"$844,011"
Brad Wanamaker,2021/22,"$814,918"
Luke Kornet,2021/22,"$812,364"
Wayne Selden,2021/22,"$812,363"
Gary Clark,2021/22,"$811,213"
Ryan Arcidiacono,2021/22,"$774,727"
Trendon Watford,2021/22,"$768,830"
Patrick Patterson,2021/22,"$737,067"
Devontae Cacok,2021/22,"$726,128"
Admiral Schofield,2021/22,"$723,741"
Ishmail Wainright,2021/22,"$707,893"
Shaun Livingston,2021/22,"$666,666"
Malik Fitts,2021/22,"$630,874"
Sam Hauser,2021/22,"$619,498"
Greg Monroe,2021/22,"$612,805"
Amir Coffey,2021/22,"$573,576"
Joe Wieskamp,2021/22,"$563,663"
Keifer Sykes,2021/22,"$558,345"
Haywood Highsmith,2021/22,"$547,701"
Nik Stauskas,2021/22,"$534,993"
Davon Reed,2021/22,"$532,398"
Wenyen Gabriel,2021/22,"$522,015"
Skylar Mays,2021/22,"$510,907"
Georgios Kalaitzakis,2021/22,"$499,852"
RJ Nembhard,2021/22,"$491,876"
Chris Silva,2021/22,"$479,650"
Kessler Edwards,2021/22,"$463,211"
Trent Forrest,2021/22,"$463,211"
Sharife Cooper,2021/22,"$462,629"
Brodric Thomas,2021/22,"$462,629"
David Duke,2021/22,"$462,629"
Arnoldas Kulboka,2021/22,"$462,629"
Scottie Lewis,2021/22,"$462,629"
Tyler Cook,2021/22,"$462,629"
Markus Howard,2021/22,"$462,629"
Jamorko Pickett,2021/22,"$462,629"
Sean Chris Smith,2021/22,"$462,629"
Chris Chiozza,2021/22,"$462,629"
Jay Scrubb,2021/22,"$462,629"
Yves Pons,2021/22,"$462,629"
Sandro Mamukelashvili,2021/22,"$462,629"
Nathan Knight,2021/22,"$462,629"
McKinley Wright,2021/22,"$462,629"
Jericho Sims,2021/22,"$462,629"
Ignas Brazdeikis,2021/22,"$462,629"
Keljin Blevins,2021/22,"$462,629"
Neemias Queta,2021/22,"$462,629"
Justin Champagnie,2021/22,"$462,629"
David Johnson,2021/22,"$462,629"
Joel Ayayi,2021/22,"$462,629"
Cassius Winston,2021/22,"$462,629"
Justin Anderson,2021/22,"$445,828"
Theo Pinson,2021/22,"$440,710"
Charlie Brown,2021/22,"$431,151"
James Ennis,2021/22,"$386,127"
Langston Galloway,2021/22,"$386,127"
Tim Frazier,2021/22,"$386,127"
Kyle Guy,2021/22,"$383,079"
Sam Dekker,2021/22,"$350,000"
Quinndary Weatherspoon,2021/22,"$346,491"
Brandon Goodwin,2021/22,"$343,988"
Malcolm Hill,2021/22,"$324,373"
Louis King,2021/22,"$316,396"
Justin Jackson,2021/22,"$308,493"
Shaquille Harrison,2021/22,"$308,493"
DJ Wilson,2021/22,"$308,493"
Jeff Dowtin,2021/22,"$305,761"
Trevelin Queen,2021/22,"$303,102"
Paul Watson,2021/22,"$303,102"
Myles Powell,2021/22,"$300,443"
Jontay Porter,2021/22,"$300,000"
Mason Jones,2021/22,"$295,125"
Eugene Omoruyi,2021/22,"$281,831"
Brandon Knight,2021/22,"$274,672"
Justin Robinson,2021/22,"$265,953"
Ja'Vonte Smart,2021/22,"$265,878"
Mychal Mulder,2021/22,"$257,902"
Tyler Johnson,2021/22,"$257,418"
Cassius Stanley,2021/22,"$256,734"
Zylan Cheatham,2021/22,"$256,734"
Devon Dotson,2021/22,"$239,291"
Marcus Garrett,2021/22,"$236,632"
Lindell Wigginton,2021/22,"$233,973"
Jay Huff,2021/22,"$225,997"
Olivier Sarr,2021/22,"$223,339"
Aaron Henry,2021/22,"$223,338"
Freddie Gillespie,2021/22,"$221,156"
JaQuori McLaughlin,2021/22,"$220,679"
Rayjon Tucker,2021/22,"$220,639"
Tacko Fall,2021/22,"$218,021"
Petr Cornelie,2021/22,"$218,021"
Juwan Morgan,2021/22,"$211,046"
Damyean Dotson,2021/22,"$205,662"
Xavier Moon,2021/22,"$202,069"
Tyrone Wallace,2021/22,"$198,760"
Norvel Pelle,2021/22,"$191,860"
Jaylen Hoard,2021/22,"$191,860"
Tremont Waters,2021/22,"$191,860"
Reggie Perry,2021/22,"$188,272"
Devin Cannady,2021/22,"$185,578"
Brandon Williams,2021/22,"$180,798"
Moses Wright,2021/22,"$172,821"
DeJon Jarreau,2021/22,"$172,821"
Dakota Mathias,2021/22,"$171,156"
Matt Mooney,2021/22,"$171,156"
Daulton Hommes,2021/22,"$167,504"
Grant Riller,2021/22,"$162,186"
Lindy Waters III,2021/22,"$159,527"
Joe Johnson,2021/22,"$151,821"
CJ Miles,2021/22,"$151,821"
Ersan Ilyasova,2021/22,"$151,821"
Darren Collison,2021/22,"$151,821"
Anthony Tolliver,2021/22,"$151,821"
Chaundee Brown,2021/22,"$151,552"
Xavier Sneed,2021/22,"$146,233"
Mario Chalmers,2021/22,"$138,019"
Anthony Lamb,2021/22,"$136,095"
Braxton Key,2021/22,"$127,622"
Troy Williams,2021/22,"$122,741"
Feron Hunt,2021/22,"$116,987"
Mac McClung,2021/22,"$111,670"
Matt Ryan,2021/22,"$111,669"
Emmanuel Mudiay,2021/22,"$111,457"
Carlik Jones,2021/22,"$106,352"
Hassani Gravett,2021/22,"$106,352"
Paris Bass,2021/22,"$106,352"
Jordan Bell,2021/22,"$102,831"
Cheick Diallo,2021/22,"$102,831"
DJ Stewart,2021/22,"$101,034"
Nate Hinton,2021/22,"$96,213"
Derrick Walton,2021/22,"$95,930"
DaQuan Jeffries,2021/22,"$95,930"
Justin James,2021/22,"$95,930"
Scotty Hopson,2021/22,"$95,930"
BJ Johnson,2021/22,"$95,930"
Jaylen Morris,2021/22,"$95,930"
Demetrius Jackson,2021/22,"$92,857"
Chris Clemons,2021/22,"$85,578"
Cameron Oliver,2021/22,"$85,578"
Malik Newman,2021/22,"$85,578"
George King,2021/22,"$85,578"
Jemerrio Jones,2021/22,"$85,578"
Emanuel Terry,2021/22,"$85,578"
Jared Harper,2021/22,"$85,081"
Gabriel Lundberg,2021/22,"$79,764"
Anthony Barber,2021/22,"$53,176"
Malik Ellison,2021/22,"$53,176"
Justin Tillman,2021/22,"$53,176"
Tre Scott,2021/22,"$53,176"
Jaysean Paige,2021/22,"$53,176"
